air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
RegisterMachine-2^17,L1,Fp6,SHA3-384,54,131072,32,21441,2.01,292.7,,1,stir
RegisterMachine-2^18,L1,Fp6,SHA3-384,54,262144,32,43474,2.03,295.4,,1,stir
RegisterMachine-2^19,L1,Fp6,SHA3-384,54,524288,32,88194,2.09,298.1,,1,stir
RegisterMachine-2^20,L1,Fp6,SHA3-384,54,1048576,32,179149,2.13,300.8,,1,stir
RegisterMachine-2^21,L1,Fp6,SHA3-384,54,2097152,32,364471,2.32,341.4,,1,stir
RegisterMachine-2^22,L1,Fp6,SHA3-384,54,4194304,32,740081,2.34,344.1,,1,stir
Fibonacci-2^11,L1,Fp6,SHA3-384,54,2048,32,269,1.47,200.8,,2,stir
Fibonacci-2^12,L1,Fp6,SHA3-384,54,4096,32,518,1.51,203.4,,2,stir
Fibonacci-2^13,L1,Fp6,SHA3-384,54,8192,32,1014,1.71,244.1,,2,stir
Fibonacci-2^14,L1,Fp6,SHA3-384,54,16384,32,2029,1.72,246.8,,2,stir
Fibonacci-2^15,L1,Fp6,SHA3-384,54,32768,32,4080,1.78,249.4,,2,stir
Fibonacci-2^16,L1,Fp6,SHA3-384,54,65536,32,8210,1.82,252.1,,2,stir
Fibonacci-2^17,L1,Fp6,SHA3-384,54,131072,32,16676,2.01,292.7,,2,stir
Fibonacci-2^18,L1,Fp6,SHA3-384,54,262144,32,33732,2.03,295.4,,2,stir
Fibonacci-2^19,L1,Fp6,SHA3-384,54,524288,32,68046,2.10,298.1,,2,stir
Fibonacci-2^20,L1,Fp6,SHA3-384,54,1048576,32,135937,2.13,300.8,,2,stir
Fibonacci-2^21,L1,Fp6,SHA3-384,54,2097152,32,274041,2.32,341.4,,2,stir
Fibonacci-2^22,L1,Fp6,SHA3-384,54,4194304,32,552136,2.35,344.1,,2,stir
PoseidonChain-2^11,L1,Fp6,SHA3-384,54,2048,32,649,1.47,200.8,,2,stir
PoseidonChain-2^12,L1,Fp6,SHA3-384,54,4096,32,1281,1.51,203.4,,2,stir
PoseidonChain-2^13,L1,Fp6,SHA3-384,54,8192,32,2572,1.70,244.1,,2,stir
PoseidonChain-2^14,L1,Fp6,SHA3-384,54,16384,32,5196,1.72,246.8,,2,stir
PoseidonChain-2^15,L1,Fp6,SHA3-384,54,32768,32,10531,1.79,249.4,,2,stir
PoseidonChain-2^16,L1,Fp6,SHA3-384,54,65536,32,21442,1.82,252.1,,2,stir
PoseidonChain-2^17,L1,Fp6,SHA3-384,54,131072,32,43443,2.01,292.7,,2,stir
PoseidonChain-2^18,L1,Fp6,SHA3-384,54,262144,32,87999,2.04,295.4,,2,stir
PoseidonChain-2^19,L1,Fp6,SHA3-384,54,524288,32,178372,2.10,298.1,,2,stir
PoseidonChain-2^20,L1,Fp6,SHA3-384,54,1048576,32,361195,2.13,300.8,,2,stir
PoseidonChain-2^21,L1,Fp6,SHA3-384,54,2097152,32,737117,2.32,341.4,,2,stir
PoseidonChain-2^22,L1,Fp6,SHA3-384,54,4194304,32,1495252,2.35,344.1,,2,stir
RegisterMachine-2^11,L1,Fp6,SHA3-384,54,2048,32,320,1.47,200.8,,2,stir
RegisterMachine-2^12,L1,Fp6,SHA3-384,54,4096,32,623,1.50,203.4,,2,stir
RegisterMachine-2^13,L1,Fp6,SHA3-384,54,8192,32,1244,1.69,244.1,,2,stir
RegisterMachine-2^14,L1,Fp6,SHA3-384,54,16384,32,2504,1.72,246.8,,2,stir
RegisterMachine-2^15,L1,Fp6,SHA3-384,54,32768,32,5093,1.78,249.4,,2,stir
RegisterMachine-2^16,L1,Fp6,SHA3-384,54,65536,32,10511,1.82,252.1,,2,stir
RegisterMachine-2^17,L1,Fp6,SHA3-384,54,131072,32,21367,2.01,292.7,,2,stir
